"sourceAddress","sum(inAmount)","inAsset"
"1MDvQo2iqMJY8qoGzyDhQoRbcLwRJ2pDus","100000000","BTC"
"1MW5M7XeYdnkvWTdGPW4wshkaLmp7Wsuzh","200000000","BTC"
"1NQa2xbgbWfSLgeHebRVqeMgFfBAGQee9N","100000000","BTC"
"1P3a82CXWgneT8GjbbDWgxdUD3tKjLMzZS","100000000","BTC"
"1QD5oHa3QZdeaXVbtwqWkSiW8nLUB1jrCx","318000000","BTC"
"1WF8awqtdXMWWsnFpGgU6bZkbXM34dr8Y","100000000","BTC"
"1DPSGj2pJSdk4syHVqZu2jQAvYVZ4Vt5Bb","100977800","BTC"
"1HSn9savEa9syZV8fB3rZGLKus1nNkmBXa","100977800","BTC"
"19FviQGN1QdcSXEFabHMPv47zuwaMuRMKi","99990860","BTC"
"1CyUvWGmW1f9QK3mznheZQFcaFSYhMGFW4","99990860","BTC"
"115wd1u6uZ3eey4jNS2c7vChqx2ZJ6pjb4","99990000","BTC"
"14LBynv1rFNoy4nCkeJQYVZkTsh5oL5jZY","99990000","BTC"
"155QsMuK3Nof65X8D3BN1Adp1s7M21ATQV","99990000","BTC"
"17ESWan1JQ2qk7asZRVx6bvhjzffHhsF4b","99990000","BTC"
"18vycTCpDYrMLUKpFq8fUNGwPx2xtGHJDW","209970000","BTC"
"19oE9wFkUbiYRRpiyuo4JENvw9ufVXWzY9","99990000","BTC"
"1A9iLL4DdCsc9DdeZTq9JjVFT6KDFMHTZc","99990000","BTC"
"1Cow6xTEsiN67dhTFmKcrvNdJxpgb1aAhZ","99990000","BTC"
"1Dkpb5RC5ReRNcUytNdYAXs68jyepNb9bL","109980000","BTC"
"1M9oiqDE5fgyZHxcQwgbWBbDeGQyXggtv4","99990000","BTC"
"1MY8oinPa3LDbi5R2kpSeCe7uN72FywVxF","99990000","BTC"
"1JT6CLs5DmfQ1teA2rM37HXQF2fsnmX2Ru","99981000","BTC"
"14yzytnEWbnnvdBaLw6GjHYZUTap11JBQM","99980000","BTC"
"15UjRwAGjSWCYZBz36rmPSAZiXqwGGc7o6","99980000","BTC"
"15vuvJPkymztdgPX1Z5tB36g76v1je5dyZ","99980000","BTC"
"16UoHc52w7tCFxK5dUzduPUdWtq4brL2oQ","389960000","BTC"
"16cKetYZcGxpra6iTt5A8TMEfxQanz2Sts","99980000","BTC"
"18qb6Vr4pHBkKGe8EoEbmvms7JPAfEhXsN","99980000","BTC"
"196s2AGJZhzLRemiw1D87Vg3voCYT1wANA","99980000","BTC"
"196zrC7GxRSq64345JN8h4jw1JUZMF42Ta","99980000","BTC"
"19r4nuigUFVcGZNmkU8Wk3RGoKbcesWyYR","99980000","BTC"
"19zN8g7Nv4iCGCucquGALAXDUrDPS8KxbU","99980000","BTC"
"1AbzGkkAeMja13VrmnnzqANbHBjHKaK3bD","99980000","BTC"
"1AhS1XT2vsywt81bZyf2NPTxoiVgiY8vqs","99980000","BTC"
"1BCdpUhoLCrgUhUJaXAeZWpK7QdJTzA8TF","99980000","BTC"
"1CRGQig3atXSE2hgmybZtQeDKZnHprHCcq","99980000","BTC"
"1CkE61zjzcDohabc53L548F3oL7PLrCdSx","99980000","BTC"
"1DH4e9LNKLo3tJQDbHTNk1zXTxuUxy1dwu","99980000","BTC"
"1EFW6jvVHTCGAVSTxuixpUxRcShcPYGbjh","99980000","BTC"
"1ETKE6q6mdKAAGSzEVJa3nhzZ9Y67dhoaN","99980000","BTC"
"1FaJe9vPfZ2ssajn7GVdY79cTA9aBZvxW4","99980000","BTC"
"1Gfps3UBR426YvDF7RsTM8GrpLX1WsvuLP","99980000","BTC"
"1HVvta9pGX7nS1CuUHBcqsGHEWi2o6gPQ9","99980000","BTC"
"1JByzVZM9MgLaLVGB24CkxrjnBwHxGwnuN","99980000","BTC"
"1KBG1mdDbhtcAmizZhkzD6TgBCk4vHMnLc","99980000","BTC"
"1M266rFRmpCTAe3bhVHDqsAQbVXjoyyaGf","99980000","BTC"
